Element,Item,Item Code,Value,Unit,Flag
Domestic supply quantity,"Alcohol, Non-Food",2659,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Apples and products,2617,0.6666666666666666,1000 tonnes,"S,S,S"
Domestic supply quantity,Aquatic Plants,2775,0.0,1000 tonnes,"Im,Im,Im"
Domestic supply quantity,Bananas,2615,12.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Barley and products,2513,3.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Beans,2546,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Beer,2656,52.666666666666664,1000 tonnes,"S,S,S"
Domestic supply quantity,"Beverages, Alcoholic",2658,2.3333333333333335,1000 tonnes,"S,S,S"
Domestic supply quantity,"Beverages, Fermented",2657,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Bovine Meat,2731,2.3333333333333335,1000 tonnes,"S,S,S"
Domestic supply quantity,"Butter, Ghee",2740,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Cassava and products,2532,7.666666666666667,1000 tonnes,"S,S,S"
Domestic supply quantity,Cephalopods,2766,0.0,1000 tonnes,"Im,Im,Im"
Domestic supply quantity,"Cereals, Other",2520,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,"Citrus, Other",2614,4.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Cloves,2642,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Cocoa Beans and products,2633,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Coconut Oil,2578,1.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Coconuts - Incl Copra,2560,14.666666666666666,1000 tonnes,"S,S,S"
Domestic supply quantity,Coffee and products,2630,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Cottonseed Oil,2575,0.0,1000 tonnes,"S,S"
Domestic supply quantity,Cream,2743,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Crustaceans,2765,4.216666666666666,1000 tonnes,"Im,Im,Im"
Domestic supply quantity,Dates,2619,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Demersal Fish,2762,0.5966666666666667,1000 tonnes,"Im,Im,Im"
Domestic supply quantity,Eggs,2744,5.0,1000 tonnes,"S,S,S"
Domestic supply quantity,"Fats, Animals, Raw",2737,1.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Freshwater Fish,2761,0.56,1000 tonnes,"Im,Im,Im"
Domestic supply quantity,"Fruits, Other",2625,7.333333333333333,1000 tonnes,"S,S,S"
Domestic supply quantity,Grapefruit and products,2613,2.3333333333333335,1000 tonnes,"S,S,S"
Domestic supply quantity,Grapes and products (excl wine),2620,0.6666666666666666,1000 tonnes,"S,S,S"
Domestic supply quantity,Groundnut Oil,2572,0.0,1000 tonnes,"S,S,S"
Domestic supply quantity,Groundnuts,2552,1.0,1000 tonnes,"S,S,S"
