Partner,Year,Month,NetWeight,TradeValue,CumulativeNetWeight,CumulativeTradeValue,UnitValue,CumulativeUnitValue
Brazil,2017,1,5.27422,2.374485,5.27422,2.374485,0.4502059072241962,0.4502059072241962
Brazil,2017,6,2.642,1.1539,7.916219999999999,3.528385,0.43675246025738074,0.44571588460148914
Brazil,2017,8,5.248,2.373115,13.16422,5.9014999999999995,0.45219416920731703,0.44829849394798926
Brazil,2018,2,2.55,1.21067,2.55,1.21067,0.47477254901960786,0.47477254901960786
Brazil,2019,3,1.0,0.448088,1.0,0.448088,0.448088,0.448088
Brazil,2019,8,1.4,0.577157,2.4,1.025245,0.41225500000000004,0.42718541666666665
Brazil,2020,10,3.08,1.509039,3.08,1.509039,0.4899477272727273,0.4899477272727273
Brazil,2020,11,3.05,1.342,6.13,2.851039,0.44000000000000006,0.4650960848287113
Brazil,2021,1,2.82537,1.442265,2.82537,1.442265,0.5104694252434194,0.5104694252434194
France,2016,1,0.530585,0.221474,0.530585,0.221474,0.41741474033378256,0.41741474033378256
France,2016,2,0.64581,0.316716,1.1763949999999999,0.53819,0.4904166860222047,0.457490893789926
France,2016,3,0.77205,0.347216,1.948445,0.885406,0.44973253027653654,0.45441672718501164
France,2016,4,0.45771,0.180328,2.406155,1.065734,0.3939787201503135,0.4429199282672978
France,2016,5,0.623286,0.319901,3.0294410000000003,1.385635,0.5132491344262505,0.4573896636376149
France,2016,6,0.2103,0.101224,3.239741,1.486859,0.4813314312886353,0.4589437859384438
France,2016,7,0.329265,0.145593,3.569006,1.632452,0.4421757550908843,0.45739682141190013
France,2016,8,0.2954,0.125787,3.864406,1.758239,0.4258192281651998,0.454982990917621
France,2016,9,0.67844,0.331533,4.542846,2.089772,0.4886695949531278,0.46001383273833185
France,2016,10,0.42023,0.189957,4.963076,2.279729,0.4520310306260857,0.4593379186617332
France,2016,11,0.583325,0.24005,5.546401,2.519779,0.41152016457377966,0.45430883919139636
France,2016,12,0.5225,0.220444,6.068901,2.7402230000000003,0.4219023923444976,0.451518816998333
France,2017,1,0.47458,0.209144,0.47458,0.209144,0.44069282312781827,0.44069282312781827
France,2017,2,0.557155,0.22388,1.0317349999999998,0.43302399999999996,0.40182713966490474,0.41970467222688
France,2017,3,0.188325,0.099254,1.22006,0.532278,0.5270357095446702,0.4362719866236087
France,2017,4,0.519535,0.227205,1.739595,0.7594829999999999,0.4373237606705997,0.4365861019375199
France,2017,5,0.273695,0.124082,2.01329,0.8835649999999999,0.45335866566798805,0.43886623387589463
France,2017,6,0.45818,0.220407,2.47147,1.103972,0.48104893273386007,0.44668638502591573
France,2017,7,0.45404,0.209397,2.92551,1.313369,0.4611862390978768,0.4489367665808697
France,2017,8,0.39752,0.165317,3.3230299999999997,1.478686,0.41587089957737977,0.44498123700357806
France,2017,9,0.47123,0.213398,3.79426,1.692084,0.45285317148738413,0.44595889580576975
France,2017,10,0.429865,0.19509,4.224125,1.887174,0.45384015911972364,0.44676092681916374
France,2017,11,0.42739,0.196371,4.651515,2.083545,0.45946559348604316,0.4479282556328422
France,2017,12,0.494246,0.218068,5.145761,2.301613,0.4412134847828814,0.4472833075613111
France,2018,1,0.087279,0.086152,0.087279,0.086152,0.987087386427434,0.987087386427434
France,2018,2,0.352684,0.321935,0.439963,0.40808700000000003,0.9128143040228648,0.9275484529380881
France,2018,3,0.242499,0.226433,0.682462,0.63452,0.9337481804048676,0.929751400077953
France,2018,4,0.214373,0.195264,0.896835,0.8297840000000001,0.9108609759624579,0.9252359687121935
France,2018,5,0.233078,0.218128,1.129913,1.047912,0.9358583821724915,0.9274271558960734
France,2018,6,0.190904,0.175442,1.320817,1.223354,0.9190064115995474,0.9262100654367714
France,2018,7,0.194965,0.185438,1.515782,1.408792,0.9511348190700895,0.9294159714259703
France,2018,8,0.287687,0.278819,1.803469,1.687611,0.9691748323699019,0.9357582525676904
France,2018,9,0.080251,0.080686,1.88372,1.768297,1.0054204932025768,0.9387260314696452
France,2018,10,0.274783,0.26875,2.158503,2.037047,0.9780444932910697,0.943731373085884
France,2018,11,0.483588,0.442481,2.642091,2.479528,0.9149958228905597,0.9384718391607253
France,2018,12,0.230012,0.206012,2.872103,2.68554,0.8956576178634158,0.9350430677451331
France,2019,1,0.1839,0.107036,0.1839,0.107036,0.5820337139749864,0.5820337139749864
France,2019,2,0.54076,0.24732,0.7246600000000001,0.354356,0.4573563133367853,0.48899621891645734
France,2019,3,0.53794,0.2642,1.2626,0.618556,0.49113284009369074,0.48990654205607476
France,2019,4,0.512977,0.249463,1.775577,0.868019,0.4863044541958021,0.48886587289652883
France,2019,5,0.183488,0.106732,1.959065,0.9747509999999999,0.5816838158353679,0.49755929486770467
France,2019,6,0.45832,0.214217,2.417385,1.188968,0.4673961424332344,0.4918405632532675
France,2019,7,0.477358,0.237129,2.894743,1.426097,0.49675296108999956,0.49265064290681415
France,2019,8,0.479768,0.227737,3.374511,1.653834,0.4746815127311534,0.49009589833904826
France,2019,9,0.41833,0.189347,3.792841,1.843181,0.45262591733798674,0.4859631605965027
France,2019,10,0.33108,0.159985,4.123921,2.003166,0.4832215778663767,0.4857430586085426
France,2019,11,0.44651,0.194929,4.570431,2.198095,0.4365613312131867,0.4809382309895937
France,2019,12,0.39411,0.189533,4.964541,2.387628,0.4809139580320215,0.4809363040812836
Netherlands,2016,1,0.625022,0.18116,0.625022,0.18116,0.28984579742793054,0.28984579742793054
Netherlands,2016,2,0.175,0.04878,0.800022,0.22993999999999998,0.2787428571428571,0.28741709602985915
Netherlands,2016,3,0.175,0.063074,0.9750219999999999,0.293014,0.3604228571428572,0.3005203985140848
Netherlands,2016,5,0.050002,0.013198,1.025024,0.306212,0.2639494420223191,0.29873641983016985
Netherlands,2016,7,0.10001,0.027526,1.1250339999999999,0.333738,0.27523247675232476,0.2966470346673967
Netherlands,2016,8,0.15001,0.042089,1.2750439999999998,0.375827,0.2805746283581095,0.2947561025345008
Netherlands,2016,9,0.250006,0.070528,1.52505,0.446355,0.28210522947449257,0.2926822071407495
Netherlands,2016,10,0.625014,0.169295,2.150064,0.61565,0.2708659326031097,0.28634031359066525
Netherlands,2017,2,0.0225,0.013074,0.0225,0.013074,0.5810666666666667,0.5810666666666667
