Partner,Year,Month,NetWeight,TradeValue,CumulativeNetWeight,CumulativeTradeValue,UnitValue,CumulativeUnitValue
Brazil,2016,1,0.076891,0.131152,0.076891,0.131152,1.7056872715922538,1.7056872715922538
Brazil,2016,2,0.097212,0.116272,0.174103,0.24742399999999998,1.1960663292597622,1.421135764461267
Brazil,2016,3,0.048596,0.072132,0.222699,0.319556,1.484319697094411,1.4349233719055765
Brazil,2016,4,0.085489,0.136475,0.308188,0.456031,1.5964042157470555,1.479716926032162
Brazil,2016,5,0.273183,0.327145,0.5813710000000001,0.7831760000000001,1.1975305930456874,1.3471191373494722
Brazil,2016,6,0.252634,0.35619,0.8340050000000001,1.139366,1.4099052384081319,1.366138092697286
Brazil,2016,7,0.329224,0.482532,1.163229,1.621898,1.4656647146016086,1.3943067100287216
Brazil,2016,8,0.558077,0.815524,1.7213060000000002,2.437422,1.4613108943747906,1.416030618611682
Brazil,2016,9,0.392909,0.559076,2.114215,2.996498,1.4229147207114117,1.4173099708402408
Brazil,2016,10,0.210161,0.322238,2.324376,3.3187360000000004,1.5332911434566834,1.4277965355002806
Brazil,2016,11,0.145275,0.203918,2.4696510000000003,3.522654,1.403668903803132,1.4263772492550566
Brazil,2016,12,0.157309,0.222522,2.62696,3.7451760000000003,1.414553522048961,1.4256692146054757
Brazil,2017,1,0.168547,0.245892,0.168547,0.245892,1.4588927717491262,1.4588927717491262
Brazil,2017,2,0.02715,0.027195,0.195697,0.273087,1.0016574585635358,1.395458285001814
Brazil,2017,3,0.170027,0.208238,0.36572400000000005,0.481325,1.2247348950460808,1.3160880882851547
Brazil,2017,4,0.024384,0.043211,0.390108,0.524536,1.772104658792651,1.3445917540783578
Brazil,2017,5,0.112182,0.149724,0.50229,0.67426,1.3346526180670695,1.3423719365306894
Brazil,2017,6,0.283842,0.37385,0.786132,1.0481099999999999,1.3171059955890956,1.3332493779670587
Brazil,2017,7,0.318687,0.40646,1.104819,1.45457,1.2754207106031936,1.31656859630401
Brazil,2017,8,0.201434,0.346502,1.3062529999999999,1.801072,1.720176335673223,1.3788079338382382
Brazil,2017,9,0.197003,0.235344,1.503256,2.036416,1.1946214017045425,1.3546701293725087
Brazil,2017,10,0.403728,0.612064,1.906984,2.64848,1.516030594855943,1.388831788835145
Brazil,2017,11,0.221616,0.462876,2.1286,3.111356,2.088639809400043,1.4616912524664096
Brazil,2017,12,0.189169,0.282263,2.317769,3.393619,1.4921208020341599,1.4641748163859296
Brazil,2018,1,0.061875,0.083748,0.061875,0.083748,1.3535030303030304,1.3535030303030304
Brazil,2018,2,0.234281,0.28046,0.296156,0.364208,1.1971094540316969,1.2297843028674078
Brazil,2018,3,0.235045,0.323594,0.531201,0.687802,1.3767321151268905,1.2948055444172732
Brazil,2018,4,0.149983,0.178764,0.681184,0.866566,1.1918950814425635,1.2721467327476863
Brazil,2018,5,0.094995,0.143677,0.776179,1.010243,1.512469077319859,1.3015593052633478
Brazil,2018,6,0.134161,0.165183,0.91034,1.1754259999999999,1.2312296419973017,1.2911944987587054
Brazil,2018,7,0.359189,0.377279,1.269529,1.552705,1.0503634576782697,1.223055952246857
Brazil,2018,8,0.222019,0.272842,1.491548,1.8255469999999998,1.228912840792905,1.223927758275295
Brazil,2018,9,0.339265,0.460482,1.830813,2.286029,1.357292971570896,1.2486414505468335
Brazil,2018,10,0.214578,0.327344,2.045391,2.613373,1.5255245178909302,1.2776887157516583
Brazil,2018,11,0.119842,0.159703,2.165233,2.773076,1.3326129403714893,1.280728679084422
Brazil,2018,12,0.114967,0.172064,2.2802000000000002,2.94514,1.4966381657345151,1.2916147706341548
Brazil,2019,1,0.200097,0.26088,0.200097,0.26088,1.3037676726787508,1.3037676726787508
Brazil,2019,2,0.216166,0.295542,0.416263,0.556422,1.3671992820332524,1.3367078025190804
Brazil,2019,3,0.262214,0.339806,0.678477,0.896228,1.295910973479677,1.3209408719823958
Brazil,2019,4,0.138948,0.205415,0.817425,1.101643,1.4783588104902554,1.347699177294553
Brazil,2019,5,0.190956,0.224992,1.008381,1.326635,1.1782400134062299,1.315608881960291
Brazil,2019,6,0.236562,0.297252,1.244943,1.623887,1.2565500798944886,1.3043866265363155
Brazil,2019,7,0.207883,0.278703,1.452826,1.90259,1.340672397454337,1.3095787107334258
Brazil,2019,8,0.268468,0.352099,1.7212939999999999,2.254689,1.3115119865309832,1.3098802412603543
Brazil,2019,9,0.329301,0.503791,2.050595,2.75848,1.5298799578501128,1.3452095611273802
Brazil,2019,10,0.272761,0.347753,2.323356,3.106233,1.2749366661656176,1.336959553335778
Brazil,2019,11,0.269668,0.411827,2.5930239999999998,3.51806,1.5271630300962664,1.3567402384243263
Brazil,2019,12,0.108928,0.151881,2.701952,3.669941,1.3943246915393654,1.3582554390307453
Brazil,2020,1,0.144318,0.217226,0.144318,0.217226,1.5051899277983343,1.5051899277983343
Brazil,2020,2,0.139378,0.199513,0.283696,0.41673899999999997,1.4314525965360387,1.4689632564435169
Brazil,2020,3,0.129317,0.185822,0.41301299999999996,0.602561,1.436949511665133,1.4589395491183088
Brazil,2020,4,0.122697,0.166631,0.53571,0.769192,1.3580690644433033,1.4358365533590935
Brazil,2020,5,0.078993,0.106814,0.614703,0.876006,1.3521957641816365,1.4250882133322922
Brazil,2020,6,0.179208,0.1894,0.793911,1.065406,1.056872461050846,1.3419715811973887
Brazil,2020,7,0.198293,0.207542,0.992204,1.272948,1.0466430988486735,1.2829498772429864
Brazil,2020,8,0.146034,0.14061,1.1382379999999999,1.413558,0.9628579645835902,1.2418826291162308
Brazil,2020,9,0.354504,0.389634,1.492742,1.8031920000000001,1.0990962020174666,1.2079729785857167
Brazil,2020,10,0.157472,0.171645,1.650214,1.974837,1.0900033021743547,1.1967156986912
Brazil,2020,11,0.316746,0.377066,1.96696,2.351903,1.1904365011712854,1.195704538984016
Brazil,2020,12,0.121898,0.159462,2.088858,2.511365,1.3081592807101017,1.2022669803308794
Brazil,2021,1,0.114745,0.140567,0.114745,0.140567,1.2250381280230076,1.2250381280230076
Brazil,2021,2,0.120157,0.166287,0.234902,0.30685399999999996,1.3839143786878834,1.306306459715115
Brazil,2021,3,0.095319,0.10969,0.330221,0.41654399999999997,1.1507674230740985,1.261409783145227
Brazil,2021,4,0.280909,0.394117,0.61113,0.810661,1.4030059556653578,1.32649518105804
USA,2016,1,0.653547,0.904623,0.653547,0.904623,1.3841743593039215,1.3841743593039215
USA,2016,2,0.719767,0.994433,1.3733140000000001,1.8990559999999999,1.381604046865166,1.3828272339756236
USA,2016,3,0.977969,1.3713,2.351283,3.270356,1.4021916850125107,1.3908814889573053
USA,2016,4,1.218409,1.73449,3.569692,5.004846000000001,1.4235695895220735,1.4020386072523907
USA,2016,5,0.998384,1.402936,4.5680760000000005,6.407782,1.4052068142117662,1.4027310403767361
USA,2016,6,0.605159,0.895002,5.173235,7.302784,1.4789534651223892,1.4116474507730656
USA,2016,7,0.853103,1.224075,6.026338,8.526859,1.4348501880781104,1.4149320864511747
USA,2016,8,1.180208,1.651436,7.2065459999999995,10.178295,1.3992753819665686,1.4123680054217376
USA,2016,9,1.193899,1.659693,8.400445,11.837988,1.3901452300403971,1.4092096311564446
USA,2016,10,0.781588,1.084043,9.182033,12.922031,1.386974979145023,1.407316985247167
USA,2016,11,1.183982,1.637249,10.366015,14.55928,1.3828326781994995,1.4045204449347215
USA,2016,12,1.780305,1.459304,12.14632,16.018584,0.8196932548074627,1.318801414749488
USA,2017,1,0.732633,1.004867,0.732633,1.004867,1.3715830436248435,1.3715830436248435
USA,2017,2,0.876782,1.20258,1.6094149999999998,2.207447,1.3715838144487456,1.3715834635566342
USA,2017,3,1.361896,1.867955,2.971311,4.075402,1.3715841738282513,1.3715837891085787
USA,2017,4,0.952589,1.306556,3.9239,5.381958,1.371584177436439,1.3715838833813296
USA,2017,5,0.705078,0.967073,4.628978,6.349031,1.3715830021642996,1.3715837491558611
USA,2017,6,1.532664,2.102177,6.1616420000000005,8.451208000000001,1.3715837261134862,1.3715837434242366
USA,2017,7,1.818383,2.518842,7.980025,10.97005,1.385209826532694,1.3746886757873567
USA,2017,8,1.426328,1.956328,9.406353,12.926378,1.3715835347830232,1.3742178291629072
USA,2017,9,1.06509,1.460861,10.471443,14.387239000000001,1.3715845609291233,1.3739499895095642
USA,2017,10,0.932961,1.279635,11.404404,15.666874,1.3715846643107268,1.3737564891598018
USA,2017,11,1.065416,1.461308,12.46982,17.128182,1.3715844327473965,1.3735709096041482
USA,2017,12,1.094161,0.993946,13.563981,18.122128,0.9084092743206896,1.3360478756199967
USA,2018,1,1.75661,1.705007,1.75661,1.705007,0.9706235305503214,0.9706235305503214
USA,2018,2,1.738895,1.647049,3.495505,3.352056,0.9471813996819819,0.958961866740285
USA,2018,3,2.350399,2.34336,5.845904,5.695416,0.9970051893316838,0.9742575314271326
USA,2018,4,2.267244,2.404702,8.113147999999999,8.100118,1.0606277930385968,0.998393964956636
USA,2018,5,1.145024,1.101651,9.258172,9.201768999999999,0.9621204446369682,0.9939077606248835
USA,2018,6,0.703626,0.603567,9.961798,9.805336,0.8577951923322902,0.9842937991715954
USA,2018,7,1.351291,1.430937,11.313089,11.236272999999999,1.0589406722904244,0.9932099888898601
USA,2018,8,1.981634,1.980357,13.294723,13.216629999999999,0.9993555823123745,0.9941260152618449
USA,2018,9,1.531053,1.361904,14.825776,14.578534,0.889521133494399,0.9833235036061518
USA,2018,10,2.012153,1.765717,16.837929,16.344251,0.8775262119729463,0.970680598546294
USA,2018,11,1.481768,1.320213,18.319697,17.664464,0.8909714611194196,0.964233414995892
USA,2018,12,1.275293,1.080887,19.59499,18.745351,0.8475597372525372,0.9566399880785854
USA,2019,1,0.887758,1.119911,0.887758,1.119911,1.2615048245129867,1.2615048245129867
USA,2019,2,2.079759,2.541287,2.967517,3.661198,1.22191417370955,1.2337580542925282
USA,2019,3,2.133147,2.507248,5.100664,6.168446,1.1753751616742776,1.2093417641311015
USA,2019,4,1.061231,1.241494,6.161895,7.409940000000001,1.1698621694993834,1.2025423997000924
USA,2019,5,0.837045,0.991775,6.99894,8.401715000000001,1.1848526662246355,1.2004267789122354
USA,2019,6,0.811711,0.967663,7.810651,9.369378000000001,1.1921274936522976,1.199564287278999
USA,2019,7,0.949695,1.126509,8.760346,10.495887,1.186179773506231,1.1981132936986736
USA,2019,8,2.233918,2.591993,10.994264000000001,13.08788,1.1602901270324157,1.190428026832901
USA,2019,9,1.681095,1.939033,12.675359,15.026913,1.1534345173830152,1.1855216881825597
USA,2019,10,1.827628,2.108049,14.502987000000001,17.134962,1.153434396934168,1.1814781327460337
USA,2019,11,1.610459,1.852735,16.113446,18.987697,1.1504390984185253,1.1783759352282561
USA,2019,12,1.289767,1.190227,17.403213,20.177924,0.9228232696293205,1.1594367086123694
USA,2020,1,1.4095626506024097,1.169937,1.4095626506024097,1.169937,0.83,0.83
USA,2020,2,1.9500915662650604,1.618576,3.35965421686747,2.788513,0.83,0.83
USA,2020,3,1.28199,1.066692,4.64164421686747,3.8552049999999998,0.8320595324456509,0.8305688286039686
USA,2020,4,0.693153,0.591452,5.33479721686747,4.446657,0.8532777034796069,0.8335194046252848
USA,2020,5,1.149242,0.92778,6.484039216867471,5.374437,0.8072973316325021,0.8288717603710709
USA,2020,6,2.19786,1.805823,8.681899216867471,7.1802600000000005,0.8216278561873823,0.8270379349774024
USA,2020,7,1.326585,1.064494,10.00848421686747,8.244754,0.8024318079881803,0.8237764901607153
USA,2020,8,1.246713,0.973551,11.25519721686747,9.218305,0.7808942394921686,0.8190265192497111
USA,2020,9,1.163668,0.78526,12.41886521686747,10.003565,0.6748144659817061,0.805513613789207
USA,2020,10,2.924834,1.909684,15.34369921686747,11.913249,0.6529204734354154,0.7764261298151397
USA,2020,11,1.848352,1.345756,17.19205121686747,13.259005,0.7280842610065615,0.771228798282739
USA,2020,12,0.856013,0.592381,18.04806421686747,13.851386,0.6920233688039785,0.7674721141037767
USA,2021,1,0.98101,0.660386,0.98101,0.660386,0.6731694885882916,0.6731694885882916
USA,2021,2,0.657119,0.465373,1.6381290000000002,1.125759,0.7082020151601156,0.6872224348631883
USA,2021,3,1.276818,1.085472,2.914947,2.2112309999999997,0.8501383909061432,0.7585836037499136
