Partner,Year,Month,NetWeight,TradeValue,CumulativeNetWeight,CumulativeTradeValue,UnitValue,CumulativeUnitValue
Argentina,2016,1,0.05004,0.05649,0.05004,0.05649,1.1288968824940047,1.1288968824940047
Argentina,2016,2,0.050139,0.053384,0.100179,0.109874,1.0647200781826522,1.0967767695824473
Argentina,2016,4,0.075208,0.079954,0.17538700000000002,0.189828,1.0631049888309754,1.0823379155809723
Argentina,2016,5,0.076477,0.084862,0.251864,0.27469,1.1096408070400252,1.0906282755772958
Argentina,2016,6,0.076236,0.088028,0.3281,0.362718,1.1546775801458629,1.1055105150868636
Argentina,2016,7,0.025015,0.028834,0.353115,0.391552,1.1526683989606237,1.1088512241054613
Argentina,2016,8,0.075193,0.076061,0.428308,0.467613,1.0115436277313048,1.091768073442476
Argentina,2016,9,0.025412,0.028431,0.45372,0.496044,1.1188021407209192,1.0932822004760645
Argentina,2016,12,0.026952,0.030919,0.480672,0.526963,1.1471875927574948,1.0963047566739896
Argentina,2017,1,0.050074,0.056495,0.050074,0.056495,1.1282302192754723,1.1282302192754723
Argentina,2017,5,0.025069,0.027294,0.075143,0.083789,1.0887550361003628,1.1150606177554796
Argentina,2017,10,0.051714,0.057855,0.126857,0.141644,1.118749274857872,1.1165643204553157
Argentina,2017,12,0.025079,0.019552,0.15193600000000002,0.161196,0.779616412137645,1.0609467144060656
Belgium,2016,1,0.050847,0.048984,0.050847,0.048984,0.9633606702460321,0.9633606702460321
Belgium,2016,2,0.029826,0.029358,0.080673,0.078342,0.9843089921544961,0.9711055743557324
Belgium,2016,3,0.127394,0.128917,0.208067,0.207259,1.0119550371289072,0.9961166355068319
Belgium,2016,4,0.042947,0.046993,0.251014,0.254252,1.0942091414999884,1.0128996789023719
Belgium,2016,5,0.029808,0.03087,0.280822,0.285122,1.0356280193236715,1.0153121906403344
Belgium,2016,7,0.05056,0.052483,0.331382,0.337605,1.0380340189873418,1.0187789318671503
Belgium,2016,9,0.028983,0.031056,0.360365,0.368661,1.0715246868854156,1.0230211036032912
Belgium,2016,10,0.00775,0.008453,0.368115,0.377114,1.090709677419355,1.0244461649212881
Belgium,2016,11,0.003312,0.003732,0.371427,0.380846,1.1268115942028987,1.0253589534417262
Belgium,2016,12,0.006757,0.007433,0.378184,0.388279,1.1000443984016577,1.026693355615256
Belgium,2017,1,0.052136,0.054435,0.052136,0.054435,1.0440962099125364,1.0440962099125364
Belgium,2017,4,0.117477,0.129986,0.169613,0.184421,1.1064804174434144,1.0873046287725587
Belgium,2017,5,0.038856,0.04294,0.20846900000000002,0.227361,1.1051060325303685,1.0906225865716246
Belgium,2017,6,0.018616,0.021131,0.227085,0.248492,1.1350988397077781,1.0942686659180483
Belgium,2017,9,0.016873,0.019557,0.243958,0.268049,1.15907070467611,1.0987506046122693
Belgium,2017,12,0.021896,0.024815,0.265854,0.292864,1.1333120204603582,1.1015971172147119
Belgium,2018,1,0.021896,0.02537,0.021896,0.02537,1.1586591158202413,1.1586591158202413
Belgium,2018,2,0.049115,0.058079,0.07101099999999999,0.083449,1.1825104346940853,1.1751559617524046
Belgium,2018,6,0.003821,0.004366,0.074832,0.087815,1.1426328186338655,1.173495296129998
Belgium,2018,7,0.010622,0.011806,0.085454,0.099621,1.1114667670871776,1.1657851007559623
Belgium,2018,11,0.021068,0.021084,0.106522,0.120705,1.0007594456047084,1.1331462045399072
Belgium,2019,4,0.021142,0.020273,0.021142,0.020273,0.9588969823100936,0.9588969823100936
Belgium,2019,6,0.03887,0.038962,0.060012,0.059234999999999996,1.0023668639053254,0.9870525894821035
Belgium,2019,8,0.020148,0.021686,0.08016000000000001,0.08092099999999999,1.0763351201111773,1.0094935129740517
Belgium,2020,2,0.021344,0.023782,0.021344,0.023782,1.1142241379310347,1.1142241379310347
Belgium,2020,5,0.021344,0.020947,0.042688,0.044729000000000005,0.9813999250374813,1.047812031484258
Brazil,2016,1,0.04971,0.04535,0.04971,0.04535,0.9122912894789782,0.9122912894789782
Brazil,2016,2,0.09942,0.09262,0.14912999999999998,0.13796999999999998,0.9316032991349829,0.9251659625829812
Brazil,2016,3,0.04971,0.04505,0.19884,0.18302,0.9062562864614766,0.9204385435526051
Brazil,2016,4,0.09942,0.095575,0.29825999999999997,0.278595,0.9613256889961778,0.9340675920337961
Brazil,2016,5,0.372825,0.370895,0.671085,0.6494899999999999,0.9948233085227652,0.967820767861001
Brazil,2016,6,0.323115,0.184772,0.9942,0.834262,0.5718459372050199,0.8391289478978072
Brazil,2016,7,0.24855,0.24515,1.24275,1.079412,0.9863206598269967,0.8685672902836452
Brazil,2016,8,0.095112,0.093125,1.337862,1.172537,0.9791088401042981,0.876425969195627
Brazil,2016,9,0.14913,0.14775,1.486992,1.320287,0.9907463287064976,0.8878911251708146
Brazil,2016,10,0.273405,0.276725,1.760397,1.5970119999999999,1.0121431575867303,0.9071885489466296
Brazil,2016,11,0.074565,0.073605,1.834962,1.670617,0.9871253268959967,0.9104368373840984
Brazil,2016,12,0.144159,0.141133,1.9791210000000001,1.81175,0.9790092883552188,0.9154316486965678
Brazil,2017,2,0.044739,0.048265,0.044739,0.048265,1.078812669035964,1.078812669035964
Brazil,2017,3,0.04971,0.0524,0.094449,0.100665,1.0541138603902636,1.0658132960645428
Brazil,2017,4,0.127075,0.133503,0.221524,0.23416800000000002,1.0505843006098763,1.0570773369928315
Brazil,2017,5,0.067109,0.067841,0.28863300000000003,0.302009,1.0109076278889568,1.0463425872994425
Brazil,2017,6,0.024855,0.02521,0.313488,0.32721900000000004,1.0142828404747537,1.0438007196447712
Brazil,2017,7,0.173985,0.177295,0.487473,0.504514,1.0190246285599334,1.034957833562064
Brazil,2017,8,0.074565,0.076671,0.562038,0.5811850000000001,1.028243814121907,1.03406709154897
Brazil,2017,9,0.094449,0.096665,0.656487,0.6778500000000001,1.023462397696111,1.0325413907663061
Brazil,2017,10,0.124275,0.132438,0.780762,0.810288,1.0656849728424864,1.037816901949634
Brazil,2017,11,0.0021,0.00336,0.782862,0.813648,1.6,1.0393249384949073
Brazil,2017,12,0.265949,0.276806,1.048811,1.090454,1.040823616558062,1.039704961141712
Brazil,2018,2,0.14913,0.153245,0.14913,0.153245,1.0275933749077983,1.0275933749077983
Brazil,2018,3,0.044739,0.046095,0.193869,0.19934,1.030309126265674,1.0282200867596158
Brazil,2018,4,0.075162,0.07567,0.269031,0.27501,1.0067587344668847,1.0222242046455612
Brazil,2018,5,0.050108,0.051233,0.319139,0.326243,1.0224515047497407,1.0222598930246696
Brazil,2018,6,0.125269,0.123845,0.444408,0.450088,0.9886324629397537,1.0127810480459396
Brazil,2018,7,0.144956,0.14088,0.589364,0.5909679999999999,0.9718811225475317,1.0027215778364473
Brazil,2018,8,0.075162,0.071044,0.6645260000000001,0.662012,0.9452116761129292,0.9962168523127763
Brazil,2018,10,0.100216,0.087098,0.764742,0.7491099999999999,0.8691027380857348,0.9795591192846737
Brazil,2018,12,0.050108,0.045514,0.8148500000000001,0.794624,0.908318033048615,0.9751782536663188
Brazil,2019,1,0.150324,0.137608,0.150324,0.137608,0.9154093824006811,0.9154093824006811
Brazil,2019,2,0.050108,0.048148,0.200432,0.185756,0.9608844895026742,0.9267781591761795
Brazil,2019,3,0.100216,0.096824,0.300648,0.28258,0.9661531092839466,0.939903142545435
Brazil,2019,5,0.175378,0.159598,0.476026,0.44217799999999996,0.9100229219172301,0.928894640208728
Brazil,2019,7,0.050108,0.0471,0.526134,0.489278,0.9399696655224715,0.9299494045243227
Brazil,2019,8,0.025054,0.022267,0.551188,0.511545,0.888760277799952,0.9280771714913968
Brazil,2019,9,0.100216,0.091384,0.651404,0.602929,0.9118703600223518,0.9255838158807745
Brazil,2019,10,0.100216,0.091584,0.75162,0.6945129999999999,0.9138660493334397,0.9240214470077964
Brazil,2019,11,0.050108,0.047606,0.801728,0.742119,0.9500678534365771,0.9256493474095953
Brazil,2019,12,0.100216,0.094812,0.901944,0.836931,0.9460764748144008,0.9279190282323515
Brazil,2020,3,0.075162,0.079344,0.075162,0.079344,1.0556398179931348,1.0556398179931348
Brazil,2020,4,0.150324,0.136609,0.22548600000000002,0.215953,0.908763736994758,0.9577224306608836
Brazil,2020,5,0.100216,0.085272,0.32570200000000005,0.301225,0.8508820946755009,0.9248484811269196
Brazil,2020,6,0.050108,0.042258,0.37581000000000003,0.343483,0.843338389079588,0.913980468853942
Brazil,2020,7,0.050108,0.04257,0.425918,0.386053,0.8495649397301828,0.9064021713099704
Brazil,2020,8,0.100216,0.087708,0.526134,0.473761,0.8751895904845534,0.9004569178194148
Brazil,2020,9,0.050108,0.051034,0.576242,0.524795,1.0184800830206755,0.9107198017499591
Brazil,2020,11,0.150324,0.171714,0.726566,0.696509,1.142292647880578,0.9586314250873286
Brazil,2020,12,0.150324,0.161817,0.8768900000000001,0.8583259999999999,1.076454857507783,0.9788297277879778
Brazil,2021,2,0.050108,0.066886,0.050108,0.066886,1.334836752614353,1.334836752614353
Brazil,2021,3,0.200432,0.259518,0.25054,0.326404,1.2947932465873715,1.3028019477927677
Netherlands,2016,1,0.043195,0.040091,0.043195,0.040091,0.9281398309989584,0.9281398309989584
Netherlands,2016,2,0.126915,0.123657,0.17010999999999998,0.163748,0.97432927549935,0.9626006701546059
