Partner,Year,Month,NetWeight,TradeValue,CumulativeNetWeight,CumulativeTradeValue,UnitValue,CumulativeUnitValue
Germany,2016,1,4.0,1.067679,4.0,1.067679,0.26691975,0.26691975
Germany,2016,4,4.09562,0.785476,8.09562,1.853155,0.19178439405999578,0.22890834797087808
Germany,2016,8,3.41681,0.646092,11.51243,2.499247,0.18909216491405728,0.2170911788388724
Germany,2016,11,4.02594,0.722384,15.53837,3.221631,0.17943238100915562,0.20733390954134828
Germany,2017,1,4.07614,0.736718,4.07614,0.736718,0.18073913064811317,0.18073913064811317
Germany,2017,5,3.99893,0.79933,8.07507,1.536048,0.1998859694968404,0.19022101356396912
Germany,2017,6,0.00018,0.000121,8.07525,1.536169,0.6722222222222222,0.19023175753072658
Germany,2017,9,4.22923,0.868204,12.30448,2.404373,0.20528654152174272,0.1954063072962043
Germany,2018,1,4.66708,0.9662,4.66708,0.9662,0.20702452068531071,0.20702452068531071
Germany,2018,5,4.23648,0.881973,8.90356,1.848173,0.2081853331067301,0.20757685689769034
Germany,2018,8,5.61391,1.372644,14.51747,3.220817,0.24450766043630912,0.22185800969452665
Germany,2018,10,4.23007,1.036048,18.74754,4.2568649999999995,0.24492455207597036,0.22706259061188824
Germany,2019,3,4.24154,0.946902,4.24154,0.946902,0.22324485917850595,0.22324485917850595
Germany,2019,5,4.27086,0.887641,8.5124,1.834543,0.20783659497150458,0.2155141910624501
Germany,2019,8,4.26987,0.837992,12.78227,2.672535,0.19625702890251928,0.2090814072930708
Germany,2019,12,5.36353,1.099547,18.1458,3.772082,0.20500435347616217,0.20787631297600545
Germany,2020,4,4.04638,0.858478,4.04638,0.858478,0.2121595104760304,0.2121595104760304
Germany,2020,7,5.95761,1.368076,10.00399,2.226554,0.22963503821163186,0.22256659592822464
Germany,2020,10,5.95001,1.4082,15.954,3.634754,0.23667187113971236,0.2278271279929798
Germany,2021,2,5.80439,1.610301,5.80439,1.610301,0.2774281190616068,0.2774281190616068
Germany,2021,4,5.70449,1.492909,11.50888,3.10321,0.2617077074374747,0.2696361418313511
Germany,2021,6,5.9719,2.046806,17.48078,5.150016,0.3427394966426096,0.294610194739594
Germany,2021,9,6.00948,1.731226,23.49026,6.881242,0.2880824963224771,0.2929402228838676
Guyana,2016,1,0.0261,0.00515,0.0261,0.00515,0.19731800766283525,0.19731800766283525
Guyana,2016,2,0.052,0.010301,0.0781,0.015451,0.19809615384615384,0.1978361075544174
Guyana,2016,3,0.02619,0.00515,0.10429,0.020601,0.19663993890798015,0.19753571771023112
Guyana,2016,4,0.07799,0.015451,0.18228,0.036052,0.19811514296704705,0.19778362958086462
