M_Y;Var;Value;Year;Month
Jan_2018;PriceIndexTransport;130.9;2018;1
Feb_2018;PriceIndexTransport;135;2018;2
Mrt_2018;PriceIndexTransport;133.6;2018;3
Apr_2018;PriceIndexTransport;134;2018;4
Mei_2018;PriceIndexTransport;NA;2018;5
Jun_2018;PriceIndexTransport;NA;2018;6
Jul_2018;PriceIndexTransport;140.2;2018;7
Aug_2018;PriceIndexTransport;140.5;2018;8
Sept_2018;PriceIndexTransport;141.3;2018;9
Okt_2018;PriceIndexTransport;142.4;2018;10
Nov_2018;PriceIndexTransport;141.4;2018;11
Dec_2018;PriceIndexTransport;140.4;2018;12
Jan_2019;PriceIndexTransport;140.9;2019;1
Feb_2019;PriceIndexTransport;138.3;2019;2
Mrt_2019;PriceIndexTransport;137.7;2019;3
Apr_2019;PriceIndexTransport;141;2019;4
Mei_2019;PriceIndexTransport;144.4;2019;5
Jun_2019;PriceIndexTransport;142.4;2019;6
Jul_2019;PriceIndexTransport;143;2019;7
Aug_2019;PriceIndexTransport;142.6;2019;8
Sept_2019;PriceIndexTransport;141;2019;9
Okt_2019;PriceIndexTransport;142.5;2019;10
Nov_2019;PriceIndexTransport;141.9;2019;11
Dec_2019;PriceIndexTransport;140.9;2019;12
Jan_2020;PriceIndexTransport;141.1;2020;1
Feb_2020;PriceIndexTransport;145.6;2020;2
Mrt_2020;PriceIndexTransport;158.2;2020;3
Apr_2020;PriceIndexTransport;174.2;2020;4
Mei_2020;PriceIndexTransport;177.1;2020;5
Jun_2020;PriceIndexTransport;178.1;2020;6
Jul_2020;PriceIndexTransport;178.6;2020;7
Aug_2020;PriceIndexTransport;183;2020;8
Sept_2020;PriceIndexTransport;217.6;2020;9
Okt_2020;PriceIndexTransport;260.7;2020;10
Nov_2020;PriceIndexTransport;261.5;2020;11
Dec_2020;PriceIndexTransport;270.6;2020;12
Jan_2021;PriceIndexTransport;277.2;2021;1
Feb_2021;PriceIndexTransport;283.8;2021;2
Mrt_2021;PriceIndexTransport;285.9;2021;3
Apr_2021;PriceIndexTransport;287.5;2021;4
Mei_2021;PriceIndexTransport;297.6;2021;5
Jun_2021;PriceIndexTransport;314.2;2021;6
Jul_2021;PriceIndexTransport;342.8;2021;7
Aug_2021;PriceIndexTransport;362.2;2021;8
Sept_2021;PriceIndexTransport;367.8;2021;9
Jan_2018;PriceIndexTotal;131.3;2018;1
Feb_2018;PriceIndexTotal;132.6;2018;2
Mrt_2018;PriceIndexTotal;132.8;2018;3
Apr_2018;PriceIndexTotal;133.1;2018;4
Mei_2018;PriceIndexTotal;NA;2018;5
Jun_2018;PriceIndexTotal;NA;2018;6
Jul_2018;PriceIndexTotal;134.8;2018;7
Aug_2018;PriceIndexTotal;135.8;2018;8
Sept_2018;PriceIndexTotal;136.4;2018;9
Okt_2018;PriceIndexTotal;137;2018;10
Nov_2018;PriceIndexTotal;137.3;2018;11
Dec_2018;PriceIndexTotal;137.6;2018;12
Jan_2019;PriceIndexTotal;138.5;2019;1
Feb_2019;PriceIndexTotal;138.3;2019;2
Mrt_2019;PriceIndexTotal;138.3;2019;3
Apr_2019;PriceIndexTotal;139.2;2019;4
Mei_2019;PriceIndexTotal;139.8;2019;5
Jun_2019;PriceIndexTotal;140.3;2019;6
Jul_2019;PriceIndexTotal;140.7;2019;7
Aug_2019;PriceIndexTotal;141.2;2019;8
Sept_2019;PriceIndexTotal;141.9;2019;9
Okt_2019;PriceIndexTotal;142.8;2019;10
Nov_2019;PriceIndexTotal;143.2;2019;11
Dec_2019;PriceIndexTotal;143.4;2019;12
Jan_2020;PriceIndexTotal;144.3;2020;1
Feb_2020;PriceIndexTotal;147.9;2020;2
Mrt_2020;PriceIndexTotal;162.6;2020;3
Apr_2020;PriceIndexTotal;175.3;2020;4
Mei_2020;PriceIndexTotal;183.8;2020;5
Jun_2020;PriceIndexTotal;189.7;2020;6
Jul_2020;PriceIndexTotal;194.4;2020;7
Aug_2020;PriceIndexTotal;197.6;2020;8
Sept_2020;PriceIndexTotal;205.9;2020;9
Okt_2020;PriceIndexTotal;220.5;2020;10
Nov_2020;PriceIndexTotal;223.9;2020;11
Dec_2020;PriceIndexTotal;230.5;2020;12
Jan_2021;PriceIndexTotal;236.4;2021;1
Feb_2021;PriceIndexTotal;239.5;2021;2
Mrt_2021;PriceIndexTotal;244.6;2021;3
Apr_2021;PriceIndexTotal;253.1;2021;4
Mei_2021;PriceIndexTotal;263.8;2021;5
Jun_2021;PriceIndexTotal;292.2;2021;6
Jul_2021;PriceIndexTotal;308.8;2021;7
Aug_2021;PriceIndexTotal;344.6;2021;8
Sept_2021;PriceIndexTotal;349;2021;9
