ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Broad sector): Total,,2010,179.07,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,,2010,14.404,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Broad sector): Industry,,2010,44.188,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Broad sector): Services,,2010,120.477,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Broad sector): Total,,2010,115.392,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Broad sector): Agriculture,,2010,11.352,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Broad sector): Industry,,2010,38.872,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Broad sector): Services,,2010,65.167,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Broad sector): Total,,2010,63.678,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Broad sector): Agriculture,,2010,3.052,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Broad sector): Industry,,2010,5.316,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Broad sector): Services,,2010,55.31,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Aggregate): Total,,2010,179.07,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,,2010,14.404,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Aggregate): Manufacturing,,2010,12.117,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Aggregate): Construction,,2010,18.526,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",,2010,13.544,,,,
