pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,1006,Rice.,8,Weight in kilograms,,,509478.0,,509478.0,,270431,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,1006,Rice.,8,Weight in kilograms,,,89414934.0,,89414934.0,,37846257,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,13950602.0,,13950602.0,,6472070,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,182800.0,,182800.0,,86015,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,17475509,,,0
H3,2010,2010,2010,2,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,55242,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,0207,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.",8,Weight in kilograms,,,17329804.0,,17329804.0,,17351289,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,0207,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.",8,Weight in kilograms,,,242677.0,,242677.0,,222452,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,10387797.0,,10387797.0,,12701274,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,11831.0,,11831.0,,11156,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,,,20834977.0,,20834977.0,,4057001,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",1,No Quantity,,,,,3273.0,,198983,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,28,Antigua and Barbuda,ATG,,,,,,,,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,26152.0,,26152.0,,32465,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,32,Argentina,ARG,,,,,,,,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,453785.0,,453785.0,,591639,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,32,Argentina,ARG,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,4261,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,32,Argentina,ARG,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,23547.0,,23547.0,,11965,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,56,Belgium,BEL,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,2040781.0,,2040781.0,,935327,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,56,Belgium,BEL,,,,,,,,1006,Rice.,8,Weight in kilograms,,,880250.0,,880250.0,,208550,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,56,Belgium,BEL,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,5769,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,56,Belgium,BEL,,,,,,,,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,339257.0,,339257.0,,341635,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,56,Belgium,BEL,,,,,,,,0207,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.",8,Weight in kilograms,,,78285.0,,78285.0,,157177,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,76,Brazil,BRA,,,,,,,,0207,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.",8,Weight in kilograms,,,4060896.0,,4060896.0,,6009580,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,76,Brazil,BRA,,,,,,,,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,2811257.0,,2811257.0,,3156497,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,76,Brazil,BRA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,2015433,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,76,Brazil,BRA,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,24276.0,,24276.0,,6293,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,124,Canada,CAN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,42003,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,124,Canada,CAN,,,,,,,,0207,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.",8,Weight in kilograms,,,43611.0,,43611.0,,41694,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,156,China,CHN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,43559,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,156,China,CHN,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,289.0,,289.0,,385,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,156,China,CHN,,,,,,,,1006,Rice.,8,Weight in kilograms,,,1720.0,,1720.0,,1539,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,170,Colombia,COL,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,5041523,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,188,Costa Rica,CRI,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,129556,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,196,Cyprus,CYP,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,14130,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,196,Cyprus,CYP,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,455.0,,455.0,,750,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,214,Dominican Rep.,DOM,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,102960.0,,102960.0,,49007,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,214,Dominican Rep.,DOM,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,270000,,,0
H3,2010,2010,2010,2,0,2,Export,740,Suriname,SUR,251,France,FRA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,17212,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,251,France,FRA,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,900.0,,900.0,,148,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,251,France,FRA,,,,,,,,1006,Rice.,8,Weight in kilograms,,,4501899.0,,4501899.0,,1901646,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,251,France,FRA,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,,,18376628.0,,18376628.0,,3135524,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,276,Germany,DEU,,,,,,,,0207,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.",8,Weight in kilograms,,,72438.0,,72438.0,,106193,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,276,Germany,DEU,,,,,,,,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,35522.0,,35522.0,,41619,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,276,Germany,DEU,,,,,,,,1006,Rice.,8,Weight in kilograms,,,24000.0,,24000.0,,13440,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,276,Germany,DEU,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,454377.0,,454377.0,,225454,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,276,Germany,DEU,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,865.0,,865.0,,522,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,320,Guatemala,GTM,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,2238644,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,1677677,,,0
H3,2010,2010,2010,2,0,2,Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,2501,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,112108.0,,112108.0,,77648,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,13500.0,,13500.0,,6893,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,1006,Rice.,8,Weight in kilograms,,,107280.0,,107280.0,,68610,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,1006,Rice.,8,Weight in kilograms,,,2892290.0,,2892290.0,,1376794,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,95833.0,,95833.0,,116669,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,11831.0,,11831.0,,11156,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,0207,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.",8,Weight in kilograms,,,242677.0,,242677.0,,222452,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,328,Guyana,GUY,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,,,191350.0,,191350.0,,93379,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,332,Haiti,HTI,,,,,,,,1006,Rice.,8,Weight in kilograms,,,14593960.0,,14593960.0,,6900850,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,332,Haiti,HTI,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,64000.0,,64000.0,,28617,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,340,Honduras,HND,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,441432,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,344,"China, Hong Kong SAR",HKG,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,9172,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,360,Indonesia,IDN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,1453,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,381,Italy,ITA,,,,,,,,1101,Wheat or meslin flour.,8,Weight in kilograms,,,20400.0,,20400.0,,14220,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,388,Jamaica,JAM,,,,,,,,1006,Rice.,8,Weight in kilograms,,,22464155.0,,22464155.0,,11176551,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,388,Jamaica,JAM,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,9600,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,392,Japan,JPN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,8751,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,408,Dem. People's Rep. of Korea,PRK,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,386,,,0
H3,2010,2010,2010,2,0,1,Import,740,Suriname,SUR,458,Malaysia,MYS,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,4587,,,0
H3,2010,2010,2010,4,0,1,Import,740,Suriname,SUR,458,Malaysia,MYS,,,,,,,,1006,Rice.,8,Weight in kilograms,,,22302.0,,22302.0,,27103,,,0
H3,2010,2010,2010,4,0,2,Export,740,Suriname,SUR,466,Mali,MLI,,,,,,,,1006,Rice.,8,Weight in kilograms,,,250000.0,,250000.0,,100000,,,0
